GSM1275862,GSM1275863,GSM1275866,GSM1275867
ENSG00000225272,0,0,0,0
ENSG00000273365,0,2,2,0
ENSG00000230659,1,0,0,1
ENSG00000215520,0,0,0,0
ENSG00000183114,2,2,2,0
ENSG00000284005,0,0,0,0
ENSG00000234473,3,0,2,2
ENSG00000238754,0,0,0,0
ENSG00000221680,0,0,0,0
ENSG00000276735,3,0,0,0
ENSG00000287453,0,0,0,0
ENSG00000270615,0,0,0,0
ENSG00000287283,0,0,0,0
ENSG00000240692,0,0,0,0
ENSG00000244389,0,0,0,0
ENSG00000278636,0,0,0,0
ENSG00000271992,2,6,1,0
ENSG00000237033,1,0,0,1
ENSG00000229239,0,0,0,0
ENSG00000273844,0,0,0,0
ENSG00000235748,2,0,0,0
ENSG00000221879,0,0,0,0
ENSG00000199241,0,0,0,0
ENSG00000223963,0,0,2,0
ENSG00000215802,0,0,0,0
ENSG00000233615,0,0,0,0
ENSG00000238085,121,133,178,132
ENSG00000265831,0,0,0,0
ENSG00000224348,0,0,0,0
ENSG00000287738,0,0,0,2
ENSG00000276632,0,0,0,0
ENSG00000223603,0,0,0,0
ENSG00000235226,0,0,0,0
ENSG00000212161,0,2,0,0
ENSG00000243284,0,0,0,0
ENSG00000266458,0,0,0,0
ENSG00000287040,0,0,0,0
ENSG00000279430,0,0,0,2
ENSG00000273933,3,1,22,4
ENSG00000256029,23,2,19,10
ENSG00000188004,0,1,2,0
ENSG00000266580,1,0,0,1
ENSG00000269967,2,6,5,2
ENSG00000228634,0,1,1,0
ENSG00000284702,0,0,0,0
ENSG00000221040,0,0,0,0
ENSG00000212385,0,0,0,0
ENSG00000200547,0,0,0,0
ENSG00000224950,4,4,5,0
ENSG00000251246,0,0,0,0
ENSG00000202027,0,0,0,0
ENSG00000223452,0,0,0,0
ENSG00000273088,0,0,0,0
ENSG00000284586,0,0,0,0
ENSG00000253074,0,0,0,0
ENSG00000252116,0,0,0,0
ENSG00000228523,2,2,1,0
ENSG00000223263,0,0,2,0
ENSG00000207504,0,0,0,0
ENSG00000238139,0,0,0,0
ENSG00000244703,0,0,0,0
ENSG00000226289,0,0,0,0
ENSG00000285239,0,0,0,0
ENSG00000234219,0,0,0,0
ENSG00000158731,0,0,0,0
ENSG00000201746,0,1,0,0
ENSG00000264881,0,0,0,0
ENSG00000199562,0,0,0,0
ENSG00000264501,0,0,0,0
ENSG00000284735,4,11,0,0
ENSG00000284642,4,7,3,8
ENSG00000271989,0,0,0,0
ENSG00000251503,1,0,2,0
ENSG00000203469,0,0,0,0
ENSG00000236035,197,193,389,166
ENSG00000221643,1,1,6,5
ENSG00000227417,22,24,13,8
ENSG00000223505,3,1,6,1
ENSG00000236430,0,0,0,0
ENSG00000238231,0,0,0,0
ENSG00000240750,2,0,2,0
ENSG00000283799,0,0,0,0
ENSG00000227934,94,61,115,72
ENSG00000229595,0,0,0,0
ENSG00000281912,4,10,19,7
ENSG00000288208,0,0,0,0
ENSG00000236872,0,0,0,0
ENSG00000226164,0,0,0,0
ENSG00000224014,0,0,0,2
ENSG00000215795,19,8,20,6
ENSG00000259865,99,120,76,64
ENSG00000283881,0,0,0,0
ENSG00000252516,7,1,5,1
ENSG00000214144,42,34,56,25
ENSG00000235818,0,0,0,0
ENSG00000202079,0,0,1,0
ENSG00000177489,0,0,0,0
ENSG00000177476,0,0,0,0
ENSG00000283369,0,0,0,0
ENSG00000230411,0,0,0,0
ENSG00000251977,0,0,0,0
ENSG00000252254,0,1,0,1
ENSG00000227854,3,0,1,0
ENSG00000215805,0,0,0,0
ENSG00000228818,1426,1174,1325,850
ENSG00000202041,0,0,0,0
ENSG00000223694,119,143,98,96
ENSG00000233735,0,0,0,0
ENSG00000228076,0,2,0,0
ENSG00000237349,0,0,0,0
ENSG00000244716,2293,1938,2795,1530
ENSG00000228665,1,2,5,1
ENSG00000228054,0,0,0,0
ENSG00000278249,0,0,0,0
ENSG00000251484,2,0,0,0
ENSG00000234937,0,0,1,0
ENSG00000283442,0,0,1,1
ENSG00000207475,2,0,0,1
ENSG00000280466,0,0,0,0
ENSG00000281394,0,0,0,0
ENSG00000277817,0,0,0,0
ENSG00000224276,2,0,0,0
ENSG00000252236,0,0,0,0
ENSG00000260238,0,0,0,0
ENSG00000207933,0,0,0,0
ENSG00000254726,186,57,142,8
ENSG00000186160,0,0,0,0
ENSG00000225154,0,0,1,0
ENSG00000225514,0,0,0,0
ENSG00000226252,0,0,0,0
ENSG00000186790,0,0,0,4
ENSG00000237424,31,27,33,33
ENSG00000189030,0,0,0,0
ENSG00000162763,0,0,0,0
ENSG00000186564,9,14,21,12
ENSG00000173080,0,0,0,0
ENSG00000276470,0,0,0,0
ENSG00000278852,0,0,0,0
ENSG00000275915,0,0,0,0
ENSG00000224904,68,74,87,48
ENSG00000201801,0,0,0,0
ENSG00000287384,0,5,0,2
ENSG00000270914,0,0,0,0
ENSG00000202461,1,1,0,0
ENSG00000276869,0,0,0,0
ENSG00000243539,0,0,0,0
ENSG00000201135,0,0,0,0
ENSG00000227875,0,0,0,0
ENSG00000285604,0,0,0,0
ENSG00000283789,0,0,0,0
ENSG00000263676,0,0,0,0
ENSG00000200591,2,1,0,0
ENSG00000278966,0,0,0,2
ENSG00000284035,0,0,0,0
ENSG00000236484,1,5,2,0
ENSG00000288093,4,0,5,0
ENSG00000206921,0,0,0,0
ENSG00000215840,3,5,7,7
ENSG00000277882,0,0,0,0
ENSG00000283317,0,7,6,6
ENSG00000277762,0,0,0,0
ENSG00000227139,0,0,0,0
ENSG00000234190,0,0,0,0
ENSG00000223728,0,0,0,0
ENSG00000121634,0,0,0,0
ENSG00000273059,0,0,1,0
ENSG00000206791,0,0,1,0
ENSG00000206585,0,0,0,0
ENSG00000198658,347,292,369,151
ENSG00000238382,0,0,0,0
ENSG00000207190,0,0,0,0
ENSG00000200508,0,0,0,0
ENSG00000231296,0,0,0,0
ENSG00000227311,0,3,2,1
ENSG00000213172,0,0,0,0
ENSG00000284677,0,0,0,0
ENSG00000260920,63,33,82,22
ENSG00000255054,0,0,0,0
ENSG00000207302,0,0,0,0
ENSG00000229786,0,2,0,0
ENSG00000223624,0,0,2,0
ENSG00000283938,0,0,0,0
ENSG00000199385,0,0,0,0
ENSG00000263381,0,0,0,0
ENSG00000264294,0,0,0,0
ENSG00000200913,2,2,1,0
ENSG00000202031,5,1,0,2
ENSG00000207421,0,0,0,0
ENSG00000281859,0,0,0,0
ENSG00000234093,635,604,757,344
ENSG00000202444,0,0,0,0
ENSG00000226499,0,2,1,2
ENSG00000253039,0,0,0,0
ENSG00000229815,0,0,0,0
ENSG00000232369,0,0,0,0
ENSG00000268949,0,0,0,0
ENSG00000234315,106,80,139,76
ENSG00000229519,2,2,1,0
ENSG00000230735,0,0,0,0
ENSG00000226394,0,0,0,0
ENSG00000237200,3,5,3,1
ENSG00000276835,0,0,0,0
ENSG00000265422,0,0,0,0
ENSG00000223776,0,0,0,0
ENSG00000273058,14,6,16,13
ENSG00000230325,3,6,6,1
ENSG00000226498,0,0,21,3
ENSG00000237991,788,766,576,291
ENSG00000244020,0,0,0,0
ENSG00000288099,0,0,0,0
ENSG00000225886,2,0,7,4
ENSG00000206767,0,0,0,0
ENSG00000226662,0,0,0,0
ENSG00000207095,0,0,0,0
ENSG00000231344,14,17,20,13
ENSG00000230833,5,5,7,2
ENSG00000269971,0,0,3,0
ENSG00000270031,0,2,0,11
ENSG00000223062,0,0,0,0
ENSG00000286433,0,0,0,0
ENSG00000252947,0,0,0,0
ENSG00000223643,0,0,0,0
ENSG00000230239,0,0,0,0
ENSG00000263811,0,0,0,0
ENSG00000277234,0,0,0,0
ENSG00000235241,0,0,0,0
ENSG00000282843,0,0,0,0
ENSG00000266634,0,0,0,0
ENSG00000199459,0,0,0,0
ENSG00000273264,1,0,4,0
ENSG00000282057,35,51,88,99
ENSG00000199934,0,0,0,0
ENSG00000226643,0,0,0,0
ENSG00000234419,0,0,0,2
ENSG00000276997,0,0,2,2
ENSG00000222399,0,0,0,0
ENSG00000267305,0,0,0,0
ENSG00000229399,443,406,552,275
ENSG00000272750,48,59,72,72
ENSG00000234523,0,0,2,1
ENSG00000233708,2,0,0,0
ENSG00000225099,432,483,793,467
ENSG00000284138,0,2,0,0
ENSG00000207256,0,0,0,0
ENSG00000283136,0,0,0,0
ENSG00000277513,0,0,0,0
ENSG00000226967,0,0,2,3
ENSG00000229570,0,0,1,0
ENSG00000226443,0,0,0,0
ENSG00000249798,0,0,0,1
ENSG00000239873,0,0,0,0
ENSG00000240244,0,0,0,0
ENSG00000260941,4,14,2,2
ENSG00000198857,9,0,3,0
ENSG00000227205,0,0,0,1
ENSG00000226446,0,1,0,0
ENSG00000134249,0,0,0,0
ENSG00000241992,0,0,0,0
ENSG00000137970,11211,10034,10071,5708
ENSG00000223229,0,0,0,0
ENSG00000226973,0,0,0,0
ENSG00000274468,0,0,0,0
ENSG00000266075,9,0,4,2
ENSG00000272153,17,9,18,8
ENSG00000230026,2,0,3,0
ENSG00000229795,0,0,0,0
ENSG00000238236,0,0,0,0
ENSG00000235638,0,0,0,0
ENSG00000231199,0,0,0,0
ENSG00000226663,0,0,0,0
ENSG00000231582,0,0,0,0
ENSG00000232714,0,0,0,0
ENSG00000235761,0,0,0,0
ENSG00000270710,0,0,0,0
ENSG00000227236,0,0,0,0
ENSG00000276584,0,0,0,0
ENSG00000282386,10,1,7,12
ENSG00000273026,4,6,1,10
ENSG00000285641,0,0,0,0
ENSG00000231416,212,182,56,39
